11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitfrMyTextTemplate
11.06.2017 15:33:36:636 |2017522182734909| UInitForms.InitfrNewList
11.06.2017 15:33:36:636 |2017522182734909| Message:WMEraseBackGround
11.06.2017 15:33:45:645 |2017522182734909| TForm1.SpeedButton1Click Input=Yes User=Demo
11.06.2017 15:33:47:647 |2017522182734909| TForm1.sbClipsClick
11.06.2017 15:33:47:647 |2017522182734909| UCommon.SetMainGridPanel Start
11.06.2017 15:33:47:647 |2017522182734909| Message:WMEraseBackGround
11.06.2017 15:33:47:647 |2017522182734909| UCommon.SetMainGridPanel MainGrid=clips
11.06.2017 15:33:47:647 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridClips
11.06.2017 15:33:47:647 |2017522182734909| UCommon.CheckedClipsInList-2 Grid=GridClips File=ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
11.06.2017 15:33:47:647 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=C:\¿–Ã –≈ƒ¿ “Œ–¿\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com)_1.mp3ÕÂ ÒÛ˘ÂÒÚ‚ÛÂÚ
11.06.2017 15:33:47:647 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=E:\œ‡‚ÂÎ ¿ÎÂÍÒÂÂ‚Ë˜\ARM EDITOR\Clips\√Û‰·‡È, ¿ÏÂËÍ‡! ¬.¡ÛÚÛÒÓ‚. Goodbye, America. V. Butusov. (1)1.aviÕ‡È‰ÂÌ
11.06.2017 15:33:47:647 |2017522182734909| UCommon.CheckedClipsInList Finish Grid=GridClips
11.06.2017 15:33:47:647 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
11.06.2017 15:33:47:647 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
11.06.2017 15:33:47:647 |2017522182734909| UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
11.06.2017 15:33:47:647 |2017522182734909| UCommon.SetMainGridPanel Finish
11.06.2017 15:33:48:648 |2017522182734909| TForm1.GridClipsMouseUp X=157 Y=93
11.06.2017 15:33:48:648 |2017522182734909| UGrid.GridColX-1 Grid=GridClips X=157 Result=3
11.06.2017 15:33:48:648 |2017522182734909| UGrid.GridClickRow-4 Grid=GridClips Y=93 Result=-1
11.06.2017 15:33:48:648 |2017522182734909| UGrid.GridClickRow-2 Grid=GridClips Y=93 Result=2
11.06.2017 15:33:48:648 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
11.06.2017 15:33:48:648 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
11.06.2017 15:33:48:648 |2017522182734909| UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
11.06.2017 15:33:49:649 |2017522182734909| TForm1.GridClipsMouseUp X=72 Y=95
11.06.2017 15:33:49:649 |2017522182734909| UGrid.GridColX-1 Grid=GridClips X=72 Result=2
11.06.2017 15:33:49:649 |2017522182734909| UGrid.GridClickRow-4 Grid=GridClips Y=95 Result=-1
11.06.2017 15:33:49:649 |2017522182734909| UGrid.GridClickRow-2 Grid=GridClips Y=95 Result=2
11.06.2017 15:33:49:649 |2017522182734909| UCommon.PlayClipFromClipsList PredClipID=201752311439874
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadClipsToPlayer Start
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadClipsToPlayer - Œ˜ËÒÚÍ‡ Ô‡ÏˇÚË
11.06.2017 15:33:49:649 |2017522182734909| TForm1.Label2Click Start
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer Start
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer - Œ˜ËÒÚÍ‡ Ô‡ÏˇÚË
11.06.2017 15:33:49:649 |2017522182734909| UMyFiles.DeleteFilesMask Dir=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp Mask=*.undo
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer-Œ˜ËÒÚÍ‡ UNDO
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer |  | File:  | Clip:  | ClipID= | Start= | Duration= 00:07:00:00
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer MyStartPlay=-00:00:00:01 Synchro=false
11.06.2017 15:33:49:649 |2017522182734909| UCommon.SwitcherVideoPanels Command=1
11.06.2017 15:33:49:649 |2017522182734909| UGrid.MarkRowPhraseInGrid Grid=GridGRTemplate MarkCell=0 WorkCell=2 Name=File Text Row=0 Mark:=false SwitcherVideoPanels-2
11.06.2017 15:33:49:649 |2017522182734909| UGrid.MarkRowPhraseInGrid Grid=GridGRTemplate MarkCell=0 WorkCell=2 Name=File Text Row=1 Mark:=false SwitcherVideoPanels-2
11.06.2017 15:33:49:649 |2017522182734909| UCommon.TemplateToScreen-2 Clear
11.06.2017 15:33:49:649 |2017522182734909| UMyFiles.LoadClipEditingFromFile Start ClipName=defaultclip
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLParameters.UpdateParameters
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=-1 IDTimeline=-1
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer TypeTL=tlDevise
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer ZoneNames.Edit.IDTimeline=1 Position=1
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTLNames.Draw Start
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Clear
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Init Result=113
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=0
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=1
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=2
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
11.06.2017 15:33:49:649 |2017522182734909| UDrawTimelines.TTLNames.Draw Finish
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer ZoneNames.Draw
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Start
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.WriteToBuffer
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=1 Position=0
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=1 Result=-1
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=21 Position=1
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=21 Result=-1
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=41 Position=2
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=41 Result=-1
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
11.06.2017 15:33:49:649 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Finish
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer TLZone.DrawBitmap
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer TLZone.DrawTimelines
11.06.2017 15:33:49:649 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer CurrentEvents : Number=-1 Image=
11.06.2017 15:33:49:649 |2017522182734909| UGrid.MarkRowPhraseInGrid Grid=GridGRTemplate MarkCell=0 WorkCell=2 Name=File Text Row=0 Mark:=false LoadDefaultClipToPlayer-2
11.06.2017 15:33:49:649 |2017522182734909| UGrid.MarkRowPhraseInGrid Grid=GridGRTemplate MarkCell=0 WorkCell=2 Name=File Text Row=1 Mark:=false LoadDefaultClipToPlayer-2
