27.06.2017 23:03:39:639 |2017522182734909| UActPlayList.LoadDefaultClipToPlayer œÛÒÚÓÈ ÍÎËÔ Á‡„ÛÊÂÌ.
27.06.2017 23:03:39:639 |2017522182734909| Message:WMEraseBackGround
27.06.2017 23:03:39:639 |2017522182734909| UInitForms.UpdatePanelPrepare
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTLNames.Draw Start
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Clear
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=0 IDTimeline=1
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=1 IDTimeline=21
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Add Result=2 IDTimeline=41
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Init Result=113
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Draw Grid=GridTimeLines Top=162 Height=113
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=0
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=1
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTimeLineName.Draw Position=2
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneReview.Draw Top=283 Height=45
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTLNames.Draw Finish
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
27.06.2017 23:03:39:639 |2017522182734909| UGrid.initgrid Grid=GridGRTemplate Width=446
27.06.2017 23:03:39:639 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
27.06.2017 23:03:39:639 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:03:39:639 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
27.06.2017 23:03:39:639 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
27.06.2017 23:03:39:639 |2017522182734909| UGrid.TMyCell.LoadJpeg File=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Templates\20176321534794.jpeg Width=128 Height=80
27.06.2017 23:03:39:639 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=F:\home\¿–Ã –≈ƒ¿ “Œ–¿ 04062017\Projects\2017522182734909\Templates\20176321534794.jpeg
27.06.2017 23:03:39:639 |2017522182734909| UInitForms.UpdatePanelAir
27.06.2017 23:03:39:639 |2017522182734909| UCommon.TemplateToScreen-2 Clear
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Start
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.WriteToBuffer
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=1 Position=0
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=1 Result=0
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=21 Position=1
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=21 Result=1
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.AddTimeline IDTimeline=41 Position=2
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.FindInBuffer IDTimeline=41 Result=2
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
27.06.2017 23:03:39:639 |2017522182734909| UGRTimelines.TTLZone.InitTimelines Finish
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TTLNames.Draw Start
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneScaler.Draw Height=25
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneEditTL.Draw Grid=GridTimeLines Top=45 Height=105
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TZoneEditTL.GridPosition Grid=GridTimeLines Position=1 IDTimeline=1
27.06.2017 23:03:39:639 |2017522182734909| UDrawTimelines.TNamesTL.Clear
