20.02.2018 13:01:57:257 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 13:01:57:257 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 13:02:45:245 || Form1.Create Start
20.02.2018 13:02:45:245 || 
20.02.2018 13:02:45:245 || *****************************************************************************************
20.02.2018 13:02:45:245 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 13:02:45:245 || *************************            Время старта: 13:02:45:22             *************************
20.02.2018 13:02:45:245 || *****************************************************************************************
20.02.2018 13:02:45:245 || UCommon.CreateDirectories
20.02.2018 13:02:45:245 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 13:02:45:245 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 13:02:45:245 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 13:02:45:245 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 13:02:45:245 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 13:02:45:245 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 13:02:45:245 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 13:02:45:245 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 13:02:45:245 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 13:10:04:24 || Form1.Create Start
20.02.2018 13:10:04:24 || 
20.02.2018 13:10:04:24 || *****************************************************************************************
20.02.2018 13:10:04:24 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 13:10:04:24 || *************************            Время старта: 13:10:04:02             *************************
20.02.2018 13:10:04:24 || *****************************************************************************************
20.02.2018 13:10:04:24 || UCommon.CreateDirectories
20.02.2018 13:10:04:24 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 13:10:04:24 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 13:10:04:24 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 13:10:04:24 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 13:10:04:24 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 13:10:04:24 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 13:10:04:24 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 13:10:04:24 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 13:10:04:24 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 13:10:31:231 || Form1.Create Start
20.02.2018 13:10:31:231 || 
20.02.2018 13:10:31:231 || *****************************************************************************************
20.02.2018 13:10:31:231 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 13:10:31:231 || *************************            Время старта: 13:10:31:22             *************************
20.02.2018 13:10:31:231 || *****************************************************************************************
20.02.2018 13:10:31:231 || UCommon.CreateDirectories
20.02.2018 13:10:31:231 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 13:10:31:231 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 13:10:31:231 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 13:10:31:231 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 13:10:31:231 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 13:10:31:231 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 13:10:31:231 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 13:10:31:231 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 13:10:31:231 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 13:10:51:251 || Form1.Create Start
20.02.2018 13:10:51:251 || 
20.02.2018 13:10:51:251 || *****************************************************************************************
20.02.2018 13:10:51:251 || *************************               ЗАПУСК ПРОГРАММЫ             *************************
20.02.2018 13:10:51:251 || *************************            Время старта: 13:10:51:24             *************************
20.02.2018 13:10:51:251 || *****************************************************************************************
20.02.2018 13:10:51:251 || UCommon.CreateDirectories
20.02.2018 13:10:51:251 || UCommon.CreateDirectories PathFiles=G:\home\ARM_editor\arm_director.1602\Clips
20.02.2018 13:10:51:251 || UCommon.CreateDirectories DirProject=G:\home\ARM_editor\arm_director.1602\Projects
20.02.2018 13:10:51:251 || UCommon.CreateDirectories PathClips=G:\home\ARM_editor\arm_director.1602\Projects\Clips
20.02.2018 13:10:51:251 || UCommon.CreateDirectories PathTemplates=G:\home\ARM_editor\arm_director.1602\Projects\Templates
20.02.2018 13:10:51:251 || UCommon.CreateDirectories PathPlayLists=G:\home\ARM_editor\arm_director.1602\Projects\PlayLists
20.02.2018 13:10:51:251 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Temp
20.02.2018 13:10:51:251 || UCommon.CreateDirectories PathTemp=G:\home\ARM_editor\arm_director.1602\Projects\Keylayouts
20.02.2018 13:10:51:251 || UCommon.CreateDirectories PathLog=G:\home\ARM_editor\arm_director.1602\\Log
20.02.2018 13:10:51:251 || Начало чтения IniFile: G:\home\ARM_editor\arm_director.1602\ARM_Director.ini
20.02.2018 13:11:34:234 || Form1.Create Start
20.02.2018 13:11:34:234 || 
