09.01.2018 20:49:48:148 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Temp\ImageTemplates.lst Grid=GridGRTemplate
09.01.2018 20:49:48:148 |2017522182734909| UGrid.TMyCell.LoadJpeg File=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Templates\20176321534794.jpeg Width=128 Height=80
09.01.2018 20:49:48:148 |2017522182734909| UGrid.GridImageReload Grid=GridGRTemplate File=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Templates\20176321534794.jpeg
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadGridFromFile Start FileName=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Temp\Clips.lst Grid=GridClips
09.01.2018 20:49:48:148 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 |2017522182734909| UGrid.TGridRows.SetDefaultFonts
09.01.2018 20:49:48:148 |2017522182734909| UMyFiles.LoadGridFromFile Finish FileName=G:\home\ARM_editor\АРМ_1\Projects\2017522182734909\Temp\Clips.lst Grid=GridClips
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridClips
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CheckedClipsInList-2 Grid=GridClips File=Не существует
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=F:\home\АРМ РЕДАКТОРА 04062017\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com)_1.mp3Не существует
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=E:\Павел Алексеевич\ARM EDITOR\Clips\Гудбай, Америка! В.Бутусов. Goodbye, America. V. Butusov. (1)1.aviНайден
09.01.2018 20:49:48:148 |2017522182734909| UCommon.CheckedClipsInList Finish Grid=GridClips
09.01.2018 20:49:48:148 |2017522182734909| UCommon.loadoldproject Finish
09.01.2018 20:49:48:148 |2017522182734909| UCommon.UpdateProjectPathes NewProject=2017522182734909
09.01.2018 20:49:48:148 |2017522182734909| UInitForms.UpdatePanelAir
09.01.2018 20:49:48:148 |2017522182734909| Form1.Create Finish
09.01.2018 20:49:48:148 |2017522182734909| Message:WMEraseBackGround
09.01.2018 20:49:48:148 |2017522182734909| UInitForms.InitNewProject
09.01.2018 20:49:48:148 |2017522182734909| UInitForms.InitPlaylists
09.01.2018 20:49:48:148 |2017522182734909| UInitForms.InitEditTimeline
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitFrButtonOptions
09.01.2018 20:49:49:149 |2017522182734909| UGrid.initgrid Grid=StringGrid1 Width=512
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitImportFiles
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitTextTemplates
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitMyMessage
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitImageTemplate
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitFrSetTemplate
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitFrSetEventData
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitFrSortGrid
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitFrShiftTL
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitFrShortNum
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitFrMediaCopy
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitFPageSetup
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitfrMyPrint
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitFrLTC
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitfrTimeCode
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitfrMyTextTemplate
09.01.2018 20:49:49:149 |2017522182734909| UInitForms.InitfrNewList
09.01.2018 20:49:49:149 |2017522182734909| Message:WMEraseBackGround
09.01.2018 20:49:50:150 |2017522182734909| TForm1.SpeedButton1Click Input=Yes User=Demo
09.01.2018 20:49:52:152 |2017522182734909| TForm1.sbClipsClick
09.01.2018 20:49:52:152 |2017522182734909| UCommon.SetMainGridPanel Start
09.01.2018 20:49:52:152 |2017522182734909| Message:WMEraseBackGround
09.01.2018 20:49:52:152 |2017522182734909| UCommon.SetMainGridPanel MainGrid=clips
09.01.2018 20:49:52:152 |2017522182734909| UCommon.CheckedClipsInList Start Grid=GridClips
09.01.2018 20:49:52:152 |2017522182734909| UCommon.CheckedClipsInList-2 Grid=GridClips File=Не существует
09.01.2018 20:49:52:152 |2017522182734909| UCommon.CheckedClipsInList-1 Grid=GridClips File=F:\home\АРМ РЕДАКТОРА 04062017\Clips\Zaz-Francuzskaya-pesnya-Les-Passants(muzofon.com)_1.mp3Не существует
09.01.2018 20:49:52:152 |2017522182734909| UCommon.CheckedClipsInList Grid=GridClips File=E:\Павел Алексеевич\ARM EDITOR\Clips\Гудбай, Америка! В.Бутусов. Goodbye, America. V. Butusov. (1)1.aviНайден
09.01.2018 20:49:52:152 |2017522182734909| UCommon.CheckedClipsInList Finish Grid=GridClips
09.01.2018 20:49:52:152 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
09.01.2018 20:49:52:152 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
09.01.2018 20:49:52:152 |2017522182734909| UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
09.01.2018 20:49:52:152 |2017522182734909| UCommon.SetMainGridPanel Finish
09.01.2018 20:49:54:154 |2017522182734909| TForm1.GridClipsMouseUp X=193 Y=141
09.01.2018 20:49:54:154 |2017522182734909| UGrid.GridColX-1 Grid=GridClips X=193 Result=3
09.01.2018 20:49:54:154 |2017522182734909| UGrid.GridClickRow-4 Grid=GridClips Y=141 Result=-1
09.01.2018 20:49:54:154 |2017522182734909| UGrid.GridClickRow-4 Grid=GridClips Y=141 Result=-1
09.01.2018 20:49:54:154 |2017522182734909| UGrid.GridClickRow-2 Grid=GridClips Y=141 Result=3
09.01.2018 20:49:54:154 |2017522182734909| UGRTimelines.TTLZone.ClearBuffer
09.01.2018 20:49:54:154 |2017522182734909| UGRTimelines.TTLZone.ClearTimeline
09.01.2018 20:49:54:154 |2017522182734909| UGrid.MyGridDeleteRow Grid=GridActPlayList Row=1
09.01.2018 20:49:56:156 |2017522182734909| TForm1.GridClipsMouseUp X=128 Y=140
09.01.2018 20:49:56:156 |2017522182734909| UGrid.GridColX-1 Grid=GridClips X=128 Result=3
